[ T-SED ]
    title = [t-sed] in region mesh
     mesh =  reg            # mesh type is region-wise
      reg = 1
  se-type =    3            # se-mesh is log given by emin, emax and ne
     emin =  1.0000000E-06  # minimum value of e-mesh points
     emax =   100.0000      # maximum value of e-mesh points
#    edel =  0.1842068      # mesh width of e-mesh points
       ne =  100            # number of e-mesh points
#    data = ( e(i), i = 1, ne + 1 )
#           1.00000E-06  1.20226E-06  1.44544E-06  1.73780E-06  2.08930E-06
#           2.51189E-06  3.01995E-06  3.63078E-06  4.36516E-06  5.24807E-06
#           6.30957E-06  7.58578E-06  9.12011E-06  1.09648E-05  1.31826E-05
#           1.58489E-05  1.90546E-05  2.29087E-05  2.75423E-05  3.31131E-05
#           3.98107E-05  4.78630E-05  5.75440E-05  6.91831E-05  8.31764E-05
#           1.00000E-04  1.20226E-04  1.44544E-04  1.73780E-04  2.08930E-04
#           2.51189E-04  3.01995E-04  3.63078E-04  4.36516E-04  5.24807E-04
#           6.30957E-04  7.58578E-04  9.12011E-04  1.09648E-03  1.31826E-03
#           1.58489E-03  1.90546E-03  2.29087E-03  2.75423E-03  3.31131E-03
#           3.98107E-03  4.78630E-03  5.75440E-03  6.91831E-03  8.31764E-03
#           1.00000E-02  1.20226E-02  1.44544E-02  1.73780E-02  2.08930E-02
#           2.51189E-02  3.01995E-02  3.63078E-02  4.36516E-02  5.24807E-02
#           6.30957E-02  7.58578E-02  9.12011E-02  1.09648E-01  1.31826E-01
#           1.58489E-01  1.90546E-01  2.29087E-01  2.75423E-01  3.31131E-01
#           3.98107E-01  4.78630E-01  5.75440E-01  6.91831E-01  8.31764E-01
#           1.00000E+00  1.20226E+00  1.44544E+00  1.73780E+00  2.08930E+00
#           2.51189E+00  3.01995E+00  3.63078E+00  4.36516E+00  5.24807E+00
#           6.30957E+00  7.58578E+00  9.12011E+00  1.09648E+01  1.31826E+01
#           1.58489E+01  1.90546E+01  2.29087E+01  2.75423E+01  3.31131E+01
#           3.98107E+01  4.78630E+01  5.75440E+01  6.91831E+01  8.31764E+01
#           1.00000E+02
  se-unit =    1            # se-unit is [MeV]
     unit =    2            # unit is [MeV/z/source)]
    model =    0            # (D=0) Model type 0:old, 1:new
    cdiam =  2.000000       # (D=1.0) diameter of target sphere [um]
   letmat =    0            # (D=0) mat ID for LET, 0:real mat, <0: electron for H2O
 material =  all            # (D=all) number of specific material
     axis =  sed            # axis of output
     file = outputs/edep_proton_100mev.out  # file name of output for the above axis
     part =  all      
# kf/name :  0        
#    used :        main (  %)        temp (  %)       total (  %)
#  memory :         103 (  0)           0 (  0)         103 (  0)

#------------------------------------------------------------------------------
#newpage:
#   no. =  1   reg =      1

x: e [MeV]     
y: Dose [MeV/MeV/source]         
p: xlog ylog afac(0.8) form(0.9)
h: n            x            y(all     ),hh0l n  
#  sed-lwr      sed-upr        all       r.err 
   1.0000E-06   1.2023E-06   3.4394E-10  0.0001
   1.2023E-06   1.4454E-06   3.4394E-10  0.0001
   1.4454E-06   1.7378E-06   3.4394E-10  0.0001
   1.7378E-06   2.0893E-06   3.4394E-10  0.0001
   2.0893E-06   2.5119E-06   3.4394E-10  0.0001
   2.5119E-06   3.0200E-06   3.4394E-10  0.0001
   3.0200E-06   3.6308E-06   3.4394E-10  0.0001
   3.6308E-06   4.3652E-06   3.4394E-10  0.0001
   4.3652E-06   5.2481E-06   3.4394E-10  0.0001
   5.2481E-06   6.3096E-06   3.4394E-10  0.0001
   6.3096E-06   7.5858E-06   3.4394E-10  0.0001
   7.5858E-06   9.1201E-06   3.4394E-10  0.0001
   9.1201E-06   1.0965E-05   2.4523E-09  0.0001
   1.0965E-05   1.3183E-05   1.8820E-09  0.0001
   1.3183E-05   1.5849E-05   2.2493E-09  0.0001
   1.5849E-05   1.9055E-05   2.6852E-09  0.0001
   1.9055E-05   2.2909E-05   3.2010E-09  0.0001
   2.2909E-05   2.7542E-05   3.8094E-09  0.0001
   2.7542E-05   3.3113E-05   4.5243E-09  0.0001
   3.3113E-05   3.9811E-05   5.3606E-09  0.0001
   3.9811E-05   4.7863E-05   6.3332E-09  0.0001
   4.7863E-05   5.7544E-05   7.4568E-09  0.0001
   5.7544E-05   6.9183E-05   8.7445E-09  0.0001
   6.9183E-05   8.3176E-05   1.0206E-08  0.0001
   8.3176E-05   1.0000E-04   1.1845E-08  0.0001
   1.0000E-04   1.2023E-04   1.3659E-08  0.0001
   1.2023E-04   1.4454E-04   1.5632E-08  0.0001
   1.4454E-04   1.7378E-04   1.7737E-08  0.0001
   1.7378E-04   2.0893E-04   1.9936E-08  0.0001
   2.0893E-04   2.5119E-04   2.2178E-08  0.0001
   2.5119E-04   3.0200E-04   2.4415E-08  0.0001
   3.0200E-04   3.6308E-04   2.6625E-08  0.0001
   3.6308E-04   4.3652E-04   2.8856E-08  0.0001
   4.3652E-04   5.2481E-04   3.1331E-08  0.0001
   5.2481E-04   6.3096E-04   3.4387E-08  0.0001
   6.3096E-04   7.5858E-04   3.8164E-08  0.0001
   7.5858E-04   9.1201E-04   4.3342E-08  0.0001
   9.1201E-04   1.0965E-03   5.1445E-08  0.0001
   1.0965E-03   1.3183E-03   5.8235E-08  0.0001
   1.3183E-03   1.5849E-03   2.9450E-08  0.0001
   1.5849E-03   1.9055E-03   8.8191E-09  0.0001
   1.9055E-03   2.2909E-03   5.9473E-09  0.0001
   2.2909E-03   2.7542E-03   4.5077E-09  0.0001
   2.7542E-03   3.3113E-03   3.2926E-09  0.0001
   3.3113E-03   3.9811E-03   2.2407E-09  0.0001
   3.9811E-03   4.7863E-03   1.3782E-09  0.0001
